question,answer
require sponsorship,Yes
Are you able to travel,Yes
% of travel,100%
Do you presently reside in ,No
Are you currently in ,No
Do you have any work experience in ,Yes
Do you have experience in ,Yes
How many years of work experience do you have ,15
Having experience,Yes
salary expectations,100000
notice period,2 weeks
legally authorized,No
City,"Tokyo,Japan"
summary, Engineering manager with 15 years expereince in SDLC and STLC
proficiency in English,Native or bilingual
Do you have at least,Yes
Do you have atleast,Yes
Are you already based,No
