keyword,location
Test,Poland
QA,Poland
Automation,Poland
Engineering manager,Poland
Test,European Union
QA,European Union
Automation,European Union
Engineering manager,European Union
qa,Denmark
test,Denmark
Automation,Denmark
Test Architect,Switzerland
qa,Switzerland
test,Switzerland
Automation,Switzerland
Test Architect,Hungary
qa,Hungary
test,Hungary
Automation,Hungary
Test Architect,Ireland
qa,Ireland
test,Ireland
Automation,Ireland
Test Architect,Norway
qa,Norway
test,Norway
Automation,Norway
Test Architect,Scotland
qa,Scotland
test,Scotland
Automation,Scotland
Test Architect,Sweden
qa,Sweden
test,Sweden
Automation,Sweden
Test Architect,Netherlands
qa,Netherlands
test,Netherlands
Automation,Netherlands
Test Architect,Denmark
